date,44 BEVERAGES,44 CLEANING,44 DAIRY,44 GROCERY I,44 PRODUCE,45 BEVERAGES,45 CLEANING,45 DAIRY,45 GROCERY I,45 PRODUCE,47 BEVERAGES,47 CLEANING,47 DAIRY,47 GROCERY I,47 PRODUCE
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02,5466.0,3731.0,2101.0,10686.0,0.0,4070.0,3557.0,1410.0,11422.0,0.0,3840.0,3763.0,1489.0,10867.0,0.0
2013-01-03,3718.0,2532.0,1516.0,7342.0,0.0,2526.0,2446.0,1032.0,6841.0,0.0,2624.0,2537.0,1049.0,7325.0,0.0
2013-01-04,4112.0,3017.0,1751.0,7250.0,0.0,3064.0,2539.0,1168.0,7527.0,0.0,2912.0,2489.0,1068.0,7317.0,0.0
2013-01-05,6458.0,3854.0,2131.0,10699.0,0.0,4852.0,3445.0,1425.0,10550.0,0.0,4402.0,3634.0,1505.0,10567.0,0.0
2013-01-06,7939.0,4099.0,2212.0,12373.0,0.0,5797.0,4063.0,1443.0,12336.0,0.0,5378.0,4018.0,1574.0,12279.0,0.0
2013-01-07,4373.0,2689.0,1451.0,7059.0,0.0,3074.0,2167.0,879.0,6629.0,0.0,2378.0,2057.0,864.0,6375.0,0.0
2013-01-08,3703.0,2521.0,1333.0,19849.0,0.0,2323.0,1772.0,776.0,5452.0,0.0,1983.0,1827.0,763.0,4979.0,0.0
2013-01-09,4112.0,2889.0,1548.0,7546.0,0.0,2786.0,1980.0,912.0,5720.0,0.0,2238.0,1921.0,918.0,5768.0,0.0
2013-01-10,3411.0,1955.0,1096.0,5101.0,0.0,2012.0,1412.0,682.0,3976.0,0.0,1779.0,2502.0,776.0,4441.0,0.0
2013-01-11,4276.0,2209.0,1386.0,5993.0,0.0,2525.0,1628.0,1021.0,4825.0,0.0,2357.0,1757.0,928.0,5307.0,0.0
2013-01-12,5413.0,2858.0,1799.0,8294.0,0.0,4828.0,2447.0,1223.0,7656.0,0.0,3846.0,2568.0,1370.0,8086.0,0.0
2013-01-13,7078.0,3490.0,1919.0,10520.0,0.0,5691.0,3058.0,1401.0,10364.0,0.0,5054.0,3157.0,1536.0,10335.0,0.0
2013-01-14,3980.0,2062.0,1262.0,5756.0,0.0,2629.0,1523.0,803.0,4765.0,0.0,2493.0,1818.0,813.0,5088.0,0.0
2013-01-15,3666.0,1884.0,1097.0,5096.0,0.0,2257.0,1551.0,845.0,5181.0,0.0,2541.0,1760.0,858.0,5404.0,0.0
2013-01-16,4376.0,2683.0,1646.0,7737.0,0.0,2472.0,2051.0,1122.0,6535.0,0.0,2427.0,2222.0,1024.0,6302.0,0.0
2013-01-17,2967.0,1910.0,1096.0,4998.0,0.0,2170.0,1590.0,843.0,4826.0,0.0,2077.0,1556.0,809.0,4805.0,0.0
2013-01-18,3737.0,1987.0,1474.0,6000.0,0.0,2968.0,1874.0,1103.0,5577.0,0.0,2505.0,1761.0,952.0,5722.0,0.0
2013-01-19,6718.0,3105.0,1973.0,9628.0,0.0,4587.0,2651.0,1364.0,8542.0,0.0,3828.0,2631.0,1393.0,8613.0,0.0
2013-01-20,7882.0,3332.0,2076.0,10488.0,0.0,6284.0,3174.0,1405.0,10544.0,0.0,5569.0,3288.0,1670.0,10633.0,0.0
2013-01-21,4256.0,1949.0,1250.0,5932.0,0.0,2578.0,1882.0,937.0,5724.0,0.0,2266.0,1790.0,889.0,5698.0,0.0
